Date,date,rng
19:37:59 183815,19:37:59,0.61
19:37:59 338728,19:37:59,0.56
19:37:59 494226,19:37:59,0.10
19:37:59 648641,19:37:59,0.13
19:37:59 805451,19:37:59,0.87
19:37:59 961908,19:37:59,0.57
19:38:00 118275,19:38:00,0.42
19:38:00 271321,19:38:00,0.11
19:38:00 426670,19:38:00,0.75
19:38:00 578459,19:38:00,0.12
19:38:00 730992,19:38:00,0.35
19:38:00 884885,19:38:00,0.43
19:38:01 037362,19:38:01,0.86
19:38:01 189929,19:38:01,0.57
19:38:01 341295,19:38:01,0.33
19:38:01 497759,19:38:01,0.77
19:38:01 654495,19:38:01,0.93
19:38:01 808398,19:38:01,0.99
19:38:01 964526,19:38:01,0.77
